image_id,width,height,source,x_min,y_min,w,h,x_max,y_max
M3-BH130-1.jpg,4020,2929,1,307.2,271.2953226,19.35920398,34.43632639,326.559204,305.731649
M3-BH130-1.jpg,4020,2929,1,371.518408,362.19324,17.83084577,38.4568112,389.3492537,400.6500512
M3-BH130-1.jpg,4020,2929,1,486.5273632,273.9173779,21.26965174,36.53397064,507.7970149,310.4513486
M3-BH130-1.jpg,4020,2929,1,458.8895522,409.2154319,25.6,32.51348583,484.4895522,441.7289177
M3-BH130-1.jpg,4020,2929,1,213.4606965,474.2424036,20.25074627,29.89143052,233.7114428,504.1338341
M3-BH130-1.jpg,4020,2929,2,11.9721393,273.2181632,39.10049751,36.53397064,51.07263682,309.7521338
M3-BH130-1.jpg,4020,2929,2,55.91243781,272.5189484,42.02985075,36.53397064,97.94228856,309.0529191
M3-BH130-1.jpg,4020,2929,2,50.69054726,320.9395698,36.68059701,31.81427108,87.37114428,352.7538409
M3-BH130-1.jpg,4020,2929,2,119.2119403,320.4151588,55.14825871,34.43632639,174.360199,354.8514851
M3-BH130-1.jpg,4020,2929,2,178.1810945,319.0167293,36.29850746,34.43632639,214.479602,353.4530557
M3-BH130-1.jpg,4020,2929,2,219.7014925,321.6387846,52.72835821,32.51348583,272.4298507,354.1522704
M3-BH130-1.jpg,4020,2929,2,316.3701493,321.6387846,58.45970149,31.11505633,374.8298507,352.7538409
M3-BH130-1.jpg,4020,2929,2,381.19801,320.4151588,74.3800995,33.73711164,455.5781095,354.1522704
M3-BH130-1.jpg,4020,2929,2,460.4179104,318.3175145,41.01094527,31.81427108,501.4288557,350.1317856
M3-BH130-1.jpg,4020,2929,2,131.3114428,369.3601912,51.2,35.83475589,182.5114428,405.1949471
M3-BH130-1.jpg,4020,2929,2,18.72238806,368.1365654,41.52039801,33.21270058,60.24278607,401.349266
M3-BH130-1.jpg,4020,2929,2,438.638806,366.0389211,54.12935323,34.43632639,492.7681592,400.4752475
M3-BH130-1.jpg,4020,2929,2,111.5701493,417.7808126,32.35024876,35.83475589,143.920398,453.6155685
M3-BH130-1.jpg,4020,2929,2,271.0288557,464.9778081,39.10049751,33.21270058,310.1293532,498.1905087
M3-BH130-1.jpg,4020,2929,2,319.8089552,466.2014339,90.30049751,35.13554114,410.1094527,501.3369751
M3-BH130-1.jpg,4020,2929,2,418.3880597,463.5793786,59.47860697,34.43632639,477.8666667,498.015705
M3-BH130-2.jpg,4070,2944,2,219.5184275,316.3478261,50.31941032,33.2173913,269.8378378,349.5652174
M3-BH130-2.jpg,4070,2944,2,276.1277641,316.3478261,58.4963145,34.43478261,334.6240786,350.7826087
M3-BH130-2.jpg,4070,2944,2,343.807371,314.9565217,35.47518428,31.13043478,379.2825553,346.0869565
M3-BH130-2.jpg,4070,2944,2,437.2756757,316.3478261,49.43882064,31.13043478,486.7144963,347.4782609
M3-BH130-2.jpg,4070,2944,2,89.06535627,369.3913043,46.04226044,32.52173913,135.1076167,401.9130435
M3-BH130-2.jpg,4070,2944,2,141.7749386,369.3913043,69.06339066,31.82608696,210.8383292,401.2173913
M3-BH130-2.jpg,4070,2944,2,217.1282555,366.7826087,46.04226044,36.52173913,263.170516,403.3043478
M3-BH130-2.jpg,4070,2944,2,270.844226,366.0869565,105.5449631,36.52173913,376.3891892,402.6086957
M3-BH130-2.jpg,4070,2944,2,453.629484,364.173913,49.94201474,31.82608696,503.5714988,396
M3-BH130-2.jpg,4070,2944,2,55.47714988,415.826087,35.47518428,31.13043478,90.95233415,446.9565217
M3-BH130-2.jpg,4070,2944,2,256,416.5217391,45.03587224,35.82608696,301.0358722,452.3478261
M3-BH130-2.jpg,4070,2944,2,390.3528256,415.1304348,27.2982801,35.13043478,417.6511057,450.2608696
M3-BH130-2.jpg,4070,2944,2,194.1071253,417.7391304,50.82260442,31.13043478,244.9297297,448.8695652
M3-BH130-2.jpg,4070,2944,2,248.3262899,469.5652174,110.8285012,34.43478261,359.1547912,504
M3-BH130-2.jpg,4070,2944,1,200.3970516,318.2608696,17.23439803,38.43478261,217.6314496,356.6956522
M3-BH130-2.jpg,4070,2944,1,24.27911548,460.8695652,29.31105651,29.91304348,53.59017199,490.7826087
M3-BH130-3.jpg,4284,3538,2,81.26984127,275.2470322,33.46405229,32.5607688,114.7338936,307.807801
M3-BH130-3.jpg,4284,3538,2,120.7096172,274.5234596,57.00840336,32.5607688,177.7180205,307.0842284
M3-BH130-3.jpg,4284,3538,2,409.3370682,271.1950254,85.45284781,35.74448841,494.789916,306.9395138
M3-BH130-3.jpg,4284,3538,2,47.32773109,318.9508197,39.43977591,31.83719616,86.767507,350.7880158
M3-BH130-3.jpg,4284,3538,2,197.9159664,320.397965,48.76190476,31.83719616,246.6778711,352.2351611
M3-BH130-3.jpg,4284,3538,2,351.2530345,320.9768231,35.61531279,33.86319955,386.8683473,354.8400226
M3-BH130-3.jpg,4284,3538,2,391.8879552,319.6743923,40.51540616,34.44205766,432.4033613,354.11645
M3-BH130-3.jpg,4284,3538,2,12.78804855,364.825325,49.83753501,35.1656303,62.62558357,399.9909553
M3-BH130-3.jpg,4284,3538,2,357.8263305,370.7586207,65.73295985,32.5607688,423.5592904,403.3193895
M3-BH130-3.jpg,4284,3538,2,310.7376284,371.3374788,36.09337068,31.83719616,346.8309991,403.174675
M3-BH130-3.jpg,4284,3538,2,240.1045752,419.093273,65.73295985,31.83719616,305.837535,450.9304692
M3-BH130-3.jpg,4284,3538,2,468.0186741,372.7846241,31.79084967,28.50876201,499.8095238,401.2933861
M3-BH130-3.jpg,4284,3538,2,11.7124183,416.4884115,37.28851541,29.23233465,49.00093371,445.7207462
M3-BH130-3.jpg,4284,3538,2,13.8636788,463.5206331,38.36414566,33.13962691,52.22782446,496.66026
M3-BH130-3.jpg,4284,3538,2,57.12791783,465.5466365,28.44444444,29.81119276,85.57236228,495.3578293
M3-BH130-3.jpg,4284,3538,2,239.0289449,466.2702092,58.08403361,34.44205766,297.1129785,500.7122668
M3-BH130-3.jpg,4284,3538,2,301.4154995,466.8490673,48.76190476,30.5347654,350.1774043,497.3838327
M3-BH130-3.jpg,4284,3538,2,357.3482726,461.6393443,47.68627451,35.1656303,405.0345472,496.8049746
M3-BH130-3.jpg,4284,3538,1,350.1774043,277.2730356,17.56862745,29.81119276,367.7460317,307.0842284
M3-BH130-3.jpg,4284,3538,1,281.2175537,364.825325,24.61998133,33.13962691,305.837535,397.964952
M3-BH130-3.jpg,4284,3538,1,87.24556489,465.5466365,15.29785247,35.1656303,102.5434174,500.7122668
M3-BH130-4.jpg,4023,3407,2,8.908774546,275.911946,46.58016406,35.16524802,55.4889386,311.077194
M3-BH130-4.jpg,4023,3407,2,189.1205568,275.1605518,104.4871986,33.81273848,293.6077554,308.9732903
M3-BH130-4.jpg,4023,3407,2,299.2075565,271.253302,55.61620681,36.51775756,354.8237634,307.7710596
M3-BH130-4.jpg,4023,3407,2,364.3688789,272.6058116,73.05195128,30.50660405,437.4208302,303.1124156
M3-BH130-4.jpg,4023,3407,2,51.03455133,322.9492222,53.32537907,33.81273848,104.3599304,356.7619607
M3-BH130-4.jpg,4023,3407,2,110.4688044,321.5967127,102.8327119,33.21162313,213.3015163,354.8083358
M3-BH130-4.jpg,4023,3407,2,218.3922446,322.3481068,25.83544618,31.1077194,244.2276908,353.4558262
M3-BH130-4.jpg,4023,3407,2,248.6820781,321.5967127,37.03504847,31.85911359,285.7171265,353.4558262
M3-BH130-4.jpg,4023,3407,2,291.4441959,318.2905782,86.54238131,36.51775756,377.9865772,354.8083358
M3-BH130-4.jpg,4023,3407,2,160.48521,370.7378926,44.92567736,36.51775756,205.4108874,407.2556501
M3-BH130-4.jpg,4023,3407,2,14.50857569,419.1276783,70.76112354,37.11887291,85.26969923,456.2465512
M3-BH130-4.jpg,4023,3407,2,92.01491424,422.4338127,108.432513,35.16524802,200.4474273,457.5990608
M3-BH130-4.jpg,4023,3407,2,206.0472284,418.526563,112.8869003,38.47138245,318.9341288,456.9979454
M3-BH130-4.jpg,4023,3407,2,326.1884166,418.526563,111.7414865,35.76636337,437.9299031,454.2929263
M3-BH130-4.jpg,4023,3407,2,443.6569724,414.4690343,45.43475019,36.51775756,489.0917226,450.9867919
M3-BH130-4.jpg,4023,3407,2,14.50857569,466.9163487,36.52597564,35.16524802,51.03455133,502.0815967
M3-BH130-4.jpg,4023,3407,1,381.2955506,313.6319343,23.54461844,37.11887291,404.840169,350.7508072
M3-BH130-4.jpg,4023,3407,1,419.4760129,470.2224831,20.74471787,31.1077194,440.2207308,501.3302025
M3-BH130-4.jpg,4023,3407,1,470.0014914,366.0792486,29.78076063,31.85911359,499.7822521,397.9383622
M3-BH130-5.jpg,4149,3456,2,15.67221017,273.1851852,86.13545433,34.51851852,101.8076645,307.7037037
M3-BH130-5.jpg,4149,3456,2,109.582068,271.2592593,101.6842613,32.44444444,211.2663292,303.7037037
M3-BH130-5.jpg,4149,3456,2,259.8872017,366.0740741,84.53121234,38.51851852,344.4184141,404.5925926
M3-BH130-5.jpg,4149,3456,2,66.51434081,413.7777778,41.9570981,37.18518519,108.4714389,450.962963
M3-BH130-5.jpg,4149,3456,2,154.3774403,416.4444444,45.2889853,33.77777778,199.6664256,450.2222222
M3-BH130-5.jpg,4149,3456,2,210.6493131,418.5185185,77.37382502,34.51851852,288.0231381,453.037037
M3-BH130-5.jpg,4149,3456,2,298.0187997,416.4444444,49.11448542,37.77777778,347.1332851,454.2222222
M3-BH130-5.jpg,4149,3456,2,353.7970595,418.5185185,61.33140516,32.44444444,415.1284647,450.962963
M3-BH130-5.jpg,4149,3456,2,142.7775368,462.2222222,93.41624488,37.18518519,236.1937816,499.4074074
M3-BH130-5.jpg,4149,3456,2,68.73559894,459.5555556,29.86358159,35.85185185,98.59918053,495.4074074
M3-BH130-5.jpg,4149,3456,2,258.1595565,462.2222222,71.20366353,39.85185185,329.3632201,502.0740741
M3-BH130-5.jpg,4149,3456,2,356.5119306,462.2222222,93.41624488,38.51851852,449.9281755,500.7407407
M3-BH130-5.jpg,4149,3456,2,457.5791757,413.7777778,37.02096891,37.18518519,494.6001446,450.962963
M3-BH130-5.jpg,4149,3456,1,421.1752229,320.2962963,26.53169438,36.44444444,447.7069173,356.7407407
